CHEM_ID	SUPER_PATHWAY	SUB_PATHWAY	PATHWAY_SORTORDER	TYPE	CHEMICAL_NAME	PLOT_NAME	HMDB	KEGG	PUBCHEM	PLATFORM
m100001562	Lipid	Lysophospholipid	2601	NAMED	2-palmitoyl-GPC (16:0)*	2-palmitoyl-GPC* (16:0)*	HMDB0061702	NA	15061532	Neg
m100001567	Lipid	Lysophospholipid	2662	NAMED	1-palmitoyl-GPE (16:0)	1-palmitoyl-GPE (16:0)	HMDB0011503	NA	9547069	Pos Late
m100001569	Lipid	Lysophospholipid	2671	NAMED	1-oleoyl-GPE (18:1)	1-oleoyl-GPE (18:1)	HMDB0011506	NA	9547071	Pos Late
m100001570	Lipid	Lysophospholipid	2673	NAMED	1-linoleoyl-GPE (18:2)*	1-linoleoyl-GPE (18:2)*	HMDB0011507	NA	52925130	Pos Late
m100001571	Lipid	Lysophospholipid	2686	NAMED	1-arachidonoyl-GPE (20:4n6)*	1-arachidonoyl-GPE (20:4n6)*	HMDB0011517	NA	42607465	Pos Late
m100001577	Amino Acid	Urea cycle; Arginine and Proline Metabolism	504	NAMED	N-acetylcitrulline	N-acetylcitrulline	HMDB0000856	"C15532,C02851"	656979	Neg
m100001579	Lipid	"Fatty Acid, Monohydroxy"	1968	NAMED	2-hydroxypalmitate	2-hydroxypalmitate	HMDB0031057	NA	"125,759,649,283,611,000,000"	Neg
m100001580	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	1576	NAMED	docosapentaenoate (n6 DPA; 22:5n6)	docosapentaenoate (n6 DPA; 22:5n6)	HMDB0001976	C16513	6441454	Neg
m100001590	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	427	NAMED	isobutyrylglycine	isobutyrylglycine (C4)	HMDB0000730	NA	10855600	Neg
m100001593	Amino Acid	Lysine Metabolism	127	NAMED	glutarylcarnitine (C5-DC)	glutarylcarnitine (C5-DC)	HMDB0013130	NA	71317118	Pos Early
m100001594	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	364	NAMED	beta-hydroxyisovaleroylcarnitine	beta-hydroxyisovaleroylcarnitine	NA	NA	NA	Pos Early
m100001597	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	400	NAMED	tiglylcarnitine (C5:1-DC)	tiglyl carnitine (C5)	HMDB0002366	NA	22833596	Pos Early
m100001604	Xenobiotics	Drug - Topical Agents	5964	NAMED	hydroquinone sulfate	hydroquinone sulfate	HMDB0240263	C00530	161220	Neg
m100001605	Xenobiotics	Benzoate Metabolism	4497	NAMED	catechol sulfate	catechol sulfate	HMDB0059724	NA	3083879	Neg
m100001606	Lipid	Sterol	3193	NAMED	cholesterol sulfate	cholesterol sulfate	HMDB00653	C18043	65076	Polar
m100001609	Lipid	Sterol	3206	NAMED	7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)	7-HOCA	HMDB0012458	C17337	3081085	Neg
m100001611	Lipid	Sterol	3208	NAMED	"3beta,7alpha-dihydroxy-5-cholestenoate"	"3beta,7alpha-dihydroxy-5-cholestenoate"	HMDB0012454	C17335	3081084	Neg
m100001612	Amino Acid	Glutamate Metabolism	55	NAMED	N-acetyl-aspartyl-glutamate (NAAG)	N-acetyl-aspartyl-glutamate (NAAG)	HMDB0001067	C12270	188803	Pos Early
m100001613	Lipid	"Fatty Acid, Dicarboxylate"	1691	NAMED	tetradecanedioate (C14-DC)	tetradecanedioate (C14)	HMDB0000872	NA	13185	Neg
m100001614	Lipid	"Fatty Acid, Dicarboxylate"	1695	NAMED	hexadecanedioate (C16-DC)	hexadecanedioate (C16)	HMDB0000672	C19615	10459	Neg
m100001615	Lipid	"Fatty Acid, Dicarboxylate"	1698	NAMED	octadecanedioate (C18-DC)	octadecanedioate (C18)	HMDB0000782	NA	70095	Neg
m100001620	Lipid	Phospholipid Metabolism	2240	NAMED	glycerophosphoethanolamine	glycerophosphoethanolamine	HMDB0000114	C01233	123874	Pos Early
m100001624	Xenobiotics	Benzoate Metabolism	4570	NAMED	3-(3-hydroxyphenyl)propionate	3-(3-hydroxyphenyl)propionate	HMDB0000375	C11457	91	Neg
m100001635	Xenobiotics	Chemical	6153	NAMED	ectoine	ectoine	NA	C06231	126041	Pos Early
m100001654	Lipid	Lysophospholipid	2731	NAMED	1-arachidonoyl-GPI (20:4)*	1-arachidonoyl-GPI* (20:4)*	HMDB0061690	NA	121596217	Neg
m100001655	Lipid	Lysophospholipid	2717	NAMED	1-palmitoyl-GPI (16:0)	1-palmitoyl-GPI* (16:0)	HMDB0061695	NA	71296207	Neg
m100001657	Lipid	Secondary Bile Acid Metabolism	3499	NAMED	glycolithocholate sulfate*	glycolithocholate sulfate*	HMDB0002639	C11301	72222	Neg
m100001658	Lipid	Secondary Bile Acid Metabolism	3501	NAMED	taurolithocholate 3-sulfate	taurolithocholate 3-sulfate	HMDB0002580	C03642	440071	Neg
m100001662	Lipid	Carnitine Metabolism	1931	NAMED	deoxycarnitine	deoxycarnitine	HMDB0001161	C01181	22620	Pos Early
m100001668	Amino Acid	Histidine Metabolism	96	NAMED	1-ribosyl-imidazoleacetate*	1-ribosyl-imidazoleacetate*	HMDB0002331	C05131	440569	Pos Early
m100001730	Lipid	"Fatty Acid, Dihydroxy"	2037	NAMED	"3,4-dihydroxybutyrate"	"3,4-dihydroxybutyrate"	HMDB0000337	NA	150929	Polar
m100001731	Amino Acid	Tryptophan Metabolism	307	NAMED	indoleacetylglutamine	indoleacetylglutamine	HMDB0013240	NA	25200879	Neg
m100001733	Lipid	Fatty Acid Metabolism (Acyl Glutamine)	1781	NAMED	hexanoylglutamine	hexanoylglutamine	NA	NA	NA	Neg
m100001734	Amino Acid	Lysine Metabolism	107	NAMED	N6-acetyllysine	N6-acetyllysine	HMDB0000206	C02727	92832	Pos Early
m100001739	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	1572	NAMED	dihomo-linolenate (20:3n3 or n6)	dihomolinolenate (20:3n3 or 3n6)	HMDB0002925	C03242	5280581	Neg
m100001740	Carbohydrate	"Fructose, Mannose and Galactose Metabolism"	1351	NAMED	mannitol/sorbitol	mannitol/sorbitol	"HMDB0000247,HMDB0000765"	"C00392,C00794"	"57,806,251"	Polar
m100001743	Amino Acid	Tryptophan Metabolism	264	NAMED	tryptophan betaine	tryptophan betaine	HMDB0061115	C09213	442106	Pos Early
m100001755	Xenobiotics	Benzoate Metabolism	4524	NAMED	4-vinylphenol sulfate	4-vinylphenol sulfate	HMDB0062775	C05627	6426766	Neg
m100001756	Xenobiotics	Benzoate Metabolism	4522	NAMED	4-ethylphenylsulfate	4-ethylphenyl sulfate	HMDB0062551	C13637	20822574	Neg
m100001757	Xenobiotics	Food Component/Plant	5076	NAMED	thymol sulfate	thymol sulfate	HMDB0062720	C09908	12456386	Neg
m100001767	Xenobiotics	Food Component/Plant	5116	NAMED	pyrraline	pyrraline	HMDB0033143	C21013	14274616	Neg
m100001777	Lipid	Lysophospholipid	2723	NAMED	1-oleoyl-GPI (18:1)	1-oleoyl-GPI (18:1)	HMDB0061693	NA	86289645	Neg
m100001778	Lipid	Lysophospholipid	2725	NAMED	1-linoleoyl-GPI (18:2)*	1-linoleoyl-GPI* (18:2)*	NA	NA	11124828	Neg
m100001806	Xenobiotics	Benzoate Metabolism	4558	NAMED	o-cresol sulfate	o-cresol sulfate	HMDB0011635	NA	11615528	Neg
m100001810	Amino Acid	Urea cycle; Arginine and Proline Metabolism	498	NAMED	dimethylarginine (SDMA + ADMA)	dimethylarginine (ADMA + SDMA)	"HMDB0003334,HMDB0001539"	"C21189,C03626"	"123,831,169,148"	Pos Early
m100001851	Amino Acid	"Glycine, Serine and Threonine Metabolism"	11	NAMED	N-acetylserine	N-acetylserine	HMDB0002931	NA	65249	Polar
m100001856	Lipid	Phosphatidylethanolamine (PE)	2425	NAMED	1-stearoyl-2-oleoyl-GPE (18:0/18:1)	1-stearoyl-2-oleoyl-GPE (18:0/18:1)	HMDB0008993	NA	9546742	Pos Late
m100001868	Xenobiotics	Food Component/Plant	5087	NAMED	4-allylphenol sulfate	4-allylphenol sulfate	NA	NA	66633409	Neg
m100001869	Lipid	Phosphatidylcholine (PC)	2333	NAMED	1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)	1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)	HMDB0008048	NA	16219824	Pos Late
m100001870	Lipid	Phosphatidylethanolamine (PE)	2410	NAMED	1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)	1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)	HMDB0005322	NA	9546747	Pos Late
m100001872	Lipid	Phosphatidylserine (PS)	2508	NAMED	1-stearoyl-2-arachidonoyl-GPS (18:0/20:4)	1-stearoyl-2-arachidonoyl-GPS (18:0/20:4)	HMDB0012383	NA	24779545	Pos Late
m100001876	Lipid	Sphingolipid Synthesis	3001	NAMED	sphinganine-1-phosphate	sphinganine-1-phosphate	HMDB0001383	NA	520	Pos Late
m100001882	Lipid	Hexosylceramides (HCER)	3058	NAMED	glycosyl-N-stearoyl-sphingosine (d18:1/18:0)	glycosyl-N-stearoyl-sphingosine (d18:1/18:0)	NA	NA	NA	Pos Late
m100001925	Peptide	Dipeptide	762	NAMED	cyclo(leu-pro)	cyclo(leu-pro)	HMDB0034276	NA	7074739	Pos Early
m100001948	Energy	TCA Cycle	1447	NAMED	succinylcarnitine (C4-DC)	succinylcarnitine (C4-DC)	HMDB0061717	NA	71464481	Pos Early
m100001950	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	4408	NAMED	"bilirubin (E,E)*"	"bilirubin (E,E)*"	NA	NA	129320511	Pos Late
m100001951	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	4409	NAMED	"bilirubin (E,Z or Z,E)*"	"bilirubin (E,Z or Z,E)*"	HMDB0000488	C00486	5799469	Pos Late
m100001956	Amino Acid	Urea cycle; Arginine and Proline Metabolism	518	NAMED	N-methylproline	N-methylproline	HMDB0094696	NA	643474	Pos Early
m100001977	Cofactors and Vitamins	Vitamin A Metabolism	4434	NAMED	beta-cryptoxanthin	beta-cryptoxanthin	HMDB0033844	C08591	5281235	Pos Late
m100001987	Lipid	Androgenic Steroids	3386	NAMED	"5alpha-androstan-3beta,17beta-diol disulfate"	"5alpha-androstan-3beta,17beta-diol disulfate"	HMDB00493	C12525	90186325	Neg
m100001988	Lipid	Progestin Steroids	3280	NAMED	"5alpha-pregnan-3beta,20alpha-diol disulfate"	"5alpha-pregnan-3beta,20alpha-diol disulfate"	HMDB0094650	NA	118703093	Neg
m100001989	Lipid	Secondary Bile Acid Metabolism	3534	NAMED	glycocholenate sulfate*	glycocholenate sulfate*	NA	NA	NA	Neg
m100001990	Lipid	Secondary Bile Acid Metabolism	3535	NAMED	taurocholenate sulfate*	taurocholenate sulfate*	NA	NA	NA	Neg
m100001992	Lipid	Androgenic Steroids	3363	NAMED	"androstenediol (3beta,17beta) disulfate (1)"	"androstenediol (3beta,17beta) disulfate (1)"	HMDB0240313	C04295	87120982	Neg
m100001993	Lipid	Pregnenolone Steroids	3260	NAMED	pregnenediol disulfate (C21H34O8S2)*	pregnen-diol disulfate*	NA	NA	NA	Neg
m100001994	Lipid	Androgenic Steroids	3364	NAMED	"androstenediol (3beta,17beta) disulfate (2)"	"androstenediol (3beta,17beta) disulfate (2)"	HMDB0240313	NA	87120982	Neg
m100002009	Lipid	Progestin Steroids	3271	NAMED	"5alpha-pregnan-3beta,20beta-diol monosulfate (1)"	"5alpha-pregnan-3beta,20beta-diol monosulfate (1)"	HMDB0240580	NA	NA	Neg
m100002014	Lipid	Progestin Steroids	3274	NAMED	"5alpha-pregnan-3beta,20alpha-diol monosulfate (2)"	"5alpha-pregnan-3beta,20alpha-diol monosulfate (2)"	NA	NA	NA	Neg
m100002018	Lipid	Androgenic Steroids	3378	NAMED	"5alpha-androstan-3alpha,17beta-diol monosulfate (1)"	"5alpha-androstan-3alpha,17beta-diol monosulfate (1)"	NA	NA	"121,596,226,121,596,000"	Neg
m100002021	Lipid	Androgenic Steroids	3389	NAMED	"5alpha-androstan-3beta,17alpha-diol disulfate"	"5alpha-androstan-3beta,17alpha-diol disulfate"	HMDB0094682	NA	56639109	Neg
m100002024	Lipid	Androgenic Steroids	3385	NAMED	"5alpha-androstan-3beta,17beta-diol monosulfate (2)"	"5alpha-androstan-3beta,17beta-diol monosulfate (2)"	NA	NA	NA	Neg
m100002026	Lipid	Androgenic Steroids	3367	NAMED	"androstenediol (3alpha, 17alpha) monosulfate (2)"	"androstenediol (3alpha, 17alpha) monosulfate (2)"	NA	NA	NA	Neg
m100002027	Lipid	Androgenic Steroids	3368	NAMED	"androstenediol (3alpha, 17alpha) monosulfate (3)"	"androstenediol (3alpha, 17alpha) monosulfate (3)"	NA	NA	NA	Neg
m100002028	Lipid	Androgenic Steroids	3360	NAMED	"androstenediol (3beta,17beta) monosulfate (1)"	"androstenediol (3beta,17beta) monosulfate (1)"	HMDB0240429	NA	"12,967,063,113,847,300"	Neg
m100002029	Lipid	Androgenic Steroids	3361	NAMED	"androstenediol (3beta,17beta) monosulfate (2)"	"androstenediol (3beta,17beta) monosulfate (2)"	"HMDB0240429,HMDB0186954"	NA	NA	Neg
m100002049	Xenobiotics	Drug - Cardiovascular	5654	NAMED	4-hydroxycoumarin	4-hydroxycoumarin	NA	C20414	54682930	Neg
m100002067	Lipid	Pregnenolone Steroids	3259	NAMED	pregnenediol sulfate (C21H34O5S)*	pregnenediol sulfate (C21H34O5S)*	HMDB0000774	C18044	105074	Neg
m100002070	Lipid	"Fatty Acid, Dicarboxylate"	1663	NAMED	2-hydroxyglutarate	2-hydroxyglutarate	HMDB0059655	C02630	43	Pos Early
m100002094	Cofactors and Vitamins	Tocopherol Metabolism	4367	NAMED	gamma-CEHC	gamma-CEHC	HMDB0001931	NA	133098	Neg
m100002102	Nucleotide	"Pyrimidine Metabolism, Uracil containing"	4240	NAMED	N-acetyl-beta-alanine	N-acetyl-beta-alanine	HMDB0061880	C01073	76406	Neg
m100002106	Lipid	Sphingomyelins	3119	NAMED	"sphingomyelin (d18:1/18:1, d18:2/18:0)"	"sphingomyelin (d18:1/18:1, d18:2/18:0)"	HMDB0012101	NA	6443882	Pos Late
m100002107	Lipid	Sphingomyelins	3103	NAMED	palmitoyl sphingomyelin (d18:1/16:0)	palmitoyl sphingomyelin (d18:1/16:0)	HMDB0010169	NA	9939941	Pos Late
m100002113	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	468	NAMED	cysteine sulfinic acid	cysteine sulfinic acid	HMDB0000996	C00606	109	Pos Early
m100002122	Xenobiotics	Benzoate Metabolism	4467	NAMED	3-hydroxyhippurate	3-hydroxyhippurate	HMDB0006116	NA	450268	Neg
m100002126	Lipid	Androgenic Steroids	3339	NAMED	16a-hydroxy DHEA 3-sulfate	16a-hydroxy DHEA 3-sulfate	HMDB0062544	NA	20848950	Neg
m100002129	Lipid	Pregnenolone Steroids	3243	NAMED	pregnenolone sulfate	pregnenolone sulfate	HMDB0000774	C18044	105074	Neg
m100002152	Lipid	Androgenic Steroids	3393	NAMED	andro steroid monosulfate C19H28O6S (1)*	andro steroid monosulfate C19H28O6S (1)*	HMDB0002759	NA	159663	Neg
m100002154	Xenobiotics	Food Component/Plant	4892	NAMED	ergothioneine	ergothioneine	HMDB0003045	C05570	5351619	Pos Early
m100002167	Lipid	Eicosanoid	2141	NAMED	12-HETE	12-HETE	HMDB0006111	C14777	5283155	Neg
m100002185	Amino Acid	Tryptophan Metabolism	316	NAMED	indole-3-carboxylate	indole-3-carboxylate	HMDB0003320	C19837	69867	Neg
m100002196	Lipid	"Fatty Acid, Monohydroxy"	2014	NAMED	13-HODE + 9-HODE	13-HODE + 9-HODE	"HMDB0004670,HMDB0004667"	"C14767,C14762"	"53,128,305,282,945,100,000,000,000,000,000"	Neg
m100002199	Lipid	"Fatty Acid, Dicarboxylate"	1690	NAMED	tridecenedioate (C13:1-DC)*	tridecenedioate (C13:1-DC)*	NA	NA	NA	Neg
m100002227	Lipid	Sterol	3219	NAMED	4-cholesten-3-one	4-cholesten-3-one	HMDB0000921	C00599	91477	Pos Late
m100002253	Xenobiotics	Food Component/Plant	4852	NAMED	cinnamoylglycine	cinnamoylglycine	HMDB0011621	NA	709625	Neg
m100002254	Lipid	Endocannabinoid	2163	NAMED	stearoyl ethanolamide	stearoyl ethanolamide	HMDB0013078	NA	27902	Pos Late
m100002259	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)"	1880	NAMED	cis-4-decenoylcarnitine (C10:1)	cis-4-decenoylcarnitine (C10:1)	HMDB0013205	NA	57357170	Pos Late
m100002284	Lipid	"Fatty Acid, Dihydroxy"	2033	NAMED	"2S,3R-dihydroxybutyrate"	"2S,3R-dihydroxybutyrate"	HMDB0002453	NA	10964471	Polar
m100002356	Lipid	"Fatty Acid, Branched"	1648	NAMED	(16 or 17)-methylstearate (a19:0 or i19:0)	(16 or 17)-methylstearate (a19:0 or i19:0)	HMDB0037397	NA	3083779	Neg
m100002367	Lipid	"Fatty Acid, Dihydroxy"	2034	NAMED	"2R,3R-dihydroxybutyrate"	"2R,3R-dihydroxybutyrate"	HMDB0000498	NA	13120901	Polar
m100002417	Xenobiotics	Food Component/Plant	4771	NAMED	"2,3-dihydroxyisovalerate"	"2,3-dihydroxyisovalerate"	HMDB0012141	C04039	677	Polar
m100002458	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	367	NAMED	3-methylglutaconate	3-methylglutaconate	HMDB0000522	NA	1551553	Polar
m100002462	Amino Acid	Lysine Metabolism	120	NAMED	5-(galactosylhydroxy)-L-lysine	5-(galactosylhydroxy)-L-lysine	NA	NA	66995551	Pos Early
m100002466	Amino Acid	Glutathione Metabolism	577	NAMED	cysteinylglycine disulfide*	cysteinylglycine disulfide*	HMDB0000709	NA	22833544	Pos Early
m100002488	Lipid	Secondary Bile Acid Metabolism	3508	NAMED	isoursodeoxycholate	isoursodeoxycholate	HMDB0000686	C17662	127601	Neg
m100002500	Amino Acid	Histidine Metabolism	81	NAMED	formiminoglutamate	formiminoglutamate	HMDB0000854	C00439	439233	Pos Early
m100002514	Amino Acid	Histidine Metabolism	77	NAMED	hydantoin-5-propionate	hydantoin-5-propionate	HMDB0001212	C05565	782	Polar
m100002528	Xenobiotics	Chemical	6085	NAMED	sulfate*	sulfate*	HMDB01448	C00059	5152822	Neg
m100002544	Amino Acid	Glutamate Metabolism	51	NAMED	4-hydroxyglutamate	4-hydroxyglutamate	HMDB0001344	C03079	439902	Pos Early
m100002613	Cofactors and Vitamins	Pantothenate and CoA Metabolism	4334	NAMED	pantoate	pantoate	NA	C00522	5289105	Neg
m100002679	Amino Acid	Glutamate Metabolism	53	NAMED	gamma-carboxyglutamate	gamma-carboxyglutamate	HMDB0041900	NA	40772	Pos Early
m100002749	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	457	NAMED	S-methylcysteine	S-methylcysteine	HMDB0002108	NA	"24,417,705,817,488,100"	Neg
m100002761	Lipid	Androgenic Steroids	3340	NAMED	androsterone glucuronide	androsterone glucuronide	HMDB0002829	C11135	114833	Neg
m100002769	Amino Acid	Urea cycle; Arginine and Proline Metabolism	522	NAMED	argininate*	argininate*	HMDB0003148	NA	160437	Pos Early
m100002784	Amino Acid	Urea cycle; Arginine and Proline Metabolism	491	NAMED	2-oxoarginine*	2-oxoarginine*	HMDB0004225	C03771	558	Pos Early
m100002796	Lipid	Medium Chain Fatty Acid	1495	NAMED	cis-4-decenoate (10:1n6)*	cis-4-decenoate (10:1n6)*	HMDB0004980	NA	5282726	Neg
m100002873	Lipid	Lysophospholipid	2649	NAMED	1-lignoceroyl-GPC (24:0)	1-lignoceroyl-GPC (24:0)	HMDB0010405	NA	24779481	Pos Late
m100002875	Lipid	Lysoplasmalogen	2833	NAMED	1-(1-enyl-palmitoyl)-GPC (P-16:0)*	1-(1-enyl-palmitoyl)-GPC (P-16:0)*	HMDB0010407	NA	10917802	Pos Late
m100002910	Amino Acid	Histidine Metabolism	92	NAMED	1-methyl-5-imidazoleacetate	1-methyl-5-imidazoleacetate	HMDB04988	NA	6451814	Pos Early
m100002911	Lipid	Secondary Bile Acid Metabolism	3513	NAMED	glycoursodeoxycholate	glycoursodeoxycholate	HMDB0000708	NA	12310288	Neg
m100002927	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	458	NAMED	S-methylcysteine sulfoxide	S-methylcysteine sulfoxide	HMDB0029432	NA	82142	Pos Early
m100002945	Lipid	"Fatty Acid, Branched"	1642	NAMED	(14 or 15)-methylpalmitate (a17:0 or i17:0)	(14 or 15)-methylpalmitate (a17:0 or i17:0)	HMDB0061859	C16995	"818,117,903,417"	Neg
m100002951	Lipid	"Fatty Acid, Dicarboxylate"	1702	NAMED	eicosanedioate (C20-DC)	eicosanedioate (C20-DC)	NA	NA	75502	Neg
m100002953	Lipid	"Fatty Acid, Monohydroxy"	2010	NAMED	16-hydroxypalmitate	16-hydroxypalmitate	HMDB0006294	C18218	10466	Neg
m100002989	Lipid	Diacylglycerol	2926	NAMED	oleoyl-linoleoyl-glycerol (18:1/18:2) [1]	oleoyl-linoleoyl-glycerol (18:1/18:2) [1]	HMDB0007219	NA	14275396	Pos Late
m100002990	Lipid	Diacylglycerol	2927	NAMED	oleoyl-linoleoyl-glycerol (18:1/18:2) [2]	oleoyl-linoleoyl-glycerol (18:1/18:2) [2]	HMDB0007219	NA	71433693	Pos Late
m100003000	Lipid	Lysoplasmalogen	2834	NAMED	1-(1-enyl-palmitoyl)-GPE (P-16:0)*	1-(1-enyl-palmitoyl)-GPE (P-16:0)*	HMDB0011152	NA	NA	Pos Late
m100003001	Lipid	Lysoplasmalogen	2838	NAMED	1-(1-enyl-stearoyl)-GPE (P-18:0)*	1-(1-enyl-stearoyl)-GPE (P-18:0)*	NA	NA	NA	Pos Late
m100003119	Lipid	Endocannabinoid	2172	NAMED	N-oleoyltaurine	N-oleoyltaurine	NA	NA	6437033	Neg
m100003151	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Polyunsaturated)"	1891	NAMED	linoleoylcarnitine (C18:2)*	linoleoylcarnitine (C18:2)*	HMDB0006469	NA	6450015	Pos Late
m100003169	Peptide	Dipeptide	853	NAMED	isoleucylglycine	isoleucylglycine	HMDB0028907	NA	342532	Neg
m100003240	Lipid	Endocannabinoid	2173	NAMED	N-stearoyltaurine	N-stearoyltaurine	NA	NA	168274	Neg
m100003258	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	4351	NAMED	2-O-methylascorbic acid	2-O-methylascorbic acid	HMDB0240294	NA	54726398	Neg
m100003260	Amino Acid	Glutamate Metabolism	58	NAMED	carboxyethyl-GABA	carboxyethyl-GABA	HMDB0002201	NA	2572	Pos Early
m100003271	Amino Acid	Glutamate Metabolism	56	NAMED	beta-citrylglutamate	beta-citrylglutamate	NA	C20775	189741	Neg
m100003397	Lipid	Phospholipid Metabolism	2243	NAMED	trimethylamine N-oxide	trimethylamine N-oxide	HMDB0000925	C01104	1145	Pos Early
m100003415	Amino Acid	Lysine Metabolism	114	NAMED	N6-methyllysine	N6-methyllysine	HMDB0002038	C02728	164795	Pos Early
m100003434	Amino Acid	Histidine Metabolism	80	NAMED	imidazole propionate	imidazole propionate	HMDB0002271	NA	70630	Pos Early
m100003470	Lipid	Progestin Steroids	3283	NAMED	pregnanediol-3-glucuronide	pregnanediol-3-glucuronide	HMDB0010318	NA	123796	Neg
m100003641	Peptide	Dipeptide	1034	NAMED	valylglycine	valylglycine	HMDB0029127	NA	136487	Neg
m100003686	Lipid	Fatty Acid Metabolism (Acyl Glycine)	1823	NAMED	N-palmitoylglycine	N-palmitoylglycine	HMDB0013034	NA	151008	Neg
m100003892	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	466	NAMED	lanthionine	lanthionine	NA	NA	98504	Pos Early
m100003901	Lipid	Lysophospholipid	2670	NAMED	2-stearoyl-GPE (18:0)*	2-stearoyl-GPE (18:0)*	HMDB0011129	NA	"9,065,845,353,480,660"	Neg
m100004046	Amino Acid	Histidine Metabolism	86	NAMED	N-acetylcarnosine	N-acetylcarnosine	HMDB0012881	NA	9903482	Pos Early
m100004054	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)"	1865	NAMED	margaroylcarnitine (C17)*	margaroylcarnitine (C17)*	HMDB0006210	NA	53477803	Pos Late
m100004083	Lipid	Secondary Bile Acid Metabolism	3525	NAMED	glycohyocholate	glycohyocholate	HMDB0000138	NA	71361462	Neg
m100004088	Cofactors and Vitamins	Vitamin A Metabolism	4436	NAMED	retinal	retinal	HMDB0001358	C00376	638015	Pos Late
m100004089	Lipid	"Fatty Acid, Monohydroxy"	1962	NAMED	2-hydroxydecanoate	2-hydroxydecanoate	HMDB0094656	NA	21488	Neg
m100004110	Xenobiotics	Benzoate Metabolism	4502	NAMED	3-methyl catechol sulfate (2)	3-methyl catechol sulfate (2)	NA	NA	NA	Neg
m100004111	Xenobiotics	Benzoate Metabolism	4504	NAMED	4-methylcatechol sulfate	4-methylcatechol sulfate	HMDB0240459	NA	54104170	Neg
m100004112	Xenobiotics	Benzoate Metabolism	4501	NAMED	3-methyl catechol sulfate (1)	3-methyl catechol sulfate (1)	NA	NA	118431379	Neg
m100004182	Lipid	Secondary Bile Acid Metabolism	3538	NAMED	3b-hydroxy-5-cholenoic acid	3b-hydroxy-5-cholenoic acid	HMDB0000308	NA	92997	Neg
m100004208	Xenobiotics	Benzoate Metabolism	4500	NAMED	guaiacol sulfate	guaiacol sulfate	HMDB0060013	NA	22473	Neg
m100004227	Lipid	"Fatty Acid, Amino"	1755	NAMED	2-aminooctanoate	2-aminooctanoate	HMDB0000991	NA	69522	Pos Late
m100004295	Xenobiotics	Food Component/Plant	4635	NAMED	2-piperidinone	2-piperidinone	HMDB0011749	NA	12665	Pos Early
m100004299	Amino Acid	Histidine Metabolism	76	NAMED	N-acetyl-1-methylhistidine*	N-acetyl-1-methylhistidine*	NA	NA	53859791	Pos Early
m100004318	Xenobiotics	Food Component/Plant	4937	NAMED	indolin-2-one	indolin-2-one	NA	C12312	321710	Pos Early
m100004322	Xenobiotics	Food Component/Plant	5249	NAMED	2-aminophenol sulfate	2-aminophenol sulfate	HMDB0061116	NA	181670	Neg
m100004326	Xenobiotics	Chemical	6106	NAMED	3-acetylphenol sulfate	3-acetylphenol sulfate	NA	NA	NA	Neg
m100004328	Lipid	Sphingomyelins	3113	NAMED	"sphingomyelin (d18:1/14:0, d16:1/16:0)*"	"sphingomyelin (d18:1/14:0, d16:1/16:0)*"	HMDB0012097	NA	11433862	Pos Late
m100004329	Lipid	Sphingomyelins	3117	NAMED	"sphingomyelin (d18:2/16:0, d18:1/16:1)*"	"sphingomyelin (d18:2/16:0, d18:1/16:1)*"	NA	NA	NA	Pos Late
m100004499	Amino Acid	Lysine Metabolism	133	NAMED	6-oxopiperidine-2-carboxylate	6-oxopiperidine-2-carboxylate	HMDB0061705	NA	3014237	Neg
m100004523	Amino Acid	Urea cycle; Arginine and Proline Metabolism	508	NAMED	N-delta-acetylornithine	N-delta-acetylornithine	HMDB0003357	C00437	9920500	Pos Early
m100004541	Amino Acid	Polyamine Metabolism	551	NAMED	acisoga	acisoga	HMDB0061384	NA	129397	Neg
m100004542	Lipid	"Fatty Acid, Amino"	1750	NAMED	2-aminoheptanoate	2-aminoheptanoate	HMDB0094649	NA	227939	Pos Early
m100004575	Amino Acid	Urea cycle; Arginine and Proline Metabolism	510	NAMED	"N2,N5-diacetylornithine"	"N2,N5-diacetylornithine"	NA	NA	65977	Neg
